participant_id,condition,pointer_type,mouse_start_x_position,mouse_start_y_position,mouse_clicked_x_position,mouse_clicked_y_position,distance_to_start_position,circle_count,circle_size,is_circle_clicked,is_target,task_completion_time_in_ms,timestamp
2,3,novel,32,579,875,564,843.1334413958446,20,100,True,True,671.098,2021-05-12 13:25:13.695865
2,3,novel,34,586,710,716,688.3865193334339,20,100,True,True,391.394,2021-05-12 13:25:14.930264
2,3,novel,24,562,602,504,580.9027457328808,20,100,True,True,495.19800000000004,2021-05-12 13:25:16.261901
2,3,novel,25,571,632,293,667.632383876037,20,100,True,True,1134.245,2021-05-12 13:25:18.126072
2,3,novel,27,574,864,479,842.3740261902667,20,100,True,True,898.905,2021-05-12 13:25:19.798007
2,4,novel,4,566,701,743,719.123077087643,75,50,True,True,733.6160000000001,2021-05-12 13:25:21.438033
2,4,novel,38,579,613,275,650.4160207128973,75,50,True,True,1136.0600000000002,2021-05-12 13:25:23.278039
2,4,novel,16,566,851,521,836.211695684771,75,50,True,True,617.3729999999999,2021-05-12 13:25:24.901923
2,4,novel,18,576,584,472,575.4754556017137,75,50,True,True,546.4290000000001,2021-05-12 13:25:26.342050
2,4,novel,22,559,824,452,809.1062970957523,75,50,True,True,672.018,2021-05-12 13:25:27.830056
2,2,novel,34,565,626,260,665.9496978000666,75,50,True,True,1073.216,2021-05-12 13:25:29.878013
2,2,novel,37,578,696,712,672.4856875800406,75,50,True,True,391.648,2021-05-12 13:25:31.541993
2,2,novel,38,575,585,470,556.9865348462206,75,50,True,True,482.489,2021-05-12 13:25:32.838076
2,2,novel,28,577,858,526,831.5653912952366,75,50,True,True,751.6030000000001,2021-05-12 13:25:34.526024
2,2,novel,4,585,830,445,837.7804008211223,75,50,True,True,579.582,2021-05-12 13:25:36.126110
2,5,novel,30,570,702,748,695.1747981623039,20,100,True,True,438.721,2021-05-12 13:25:37.493447
2,5,novel,19,578,638,474,627.6758717682239,20,100,True,True,461.771,2021-05-12 13:25:38.805450
2,5,novel,30,582,632,344,647.3391692150259,20,100,True,True,597.751,2021-05-12 13:25:40.126119
2,5,novel,32,558,877,578,845.2366532516204,20,100,True,True,554.413,2021-05-12 13:25:42.389901
2,5,novel,37,570,842,486,809.3707432320494,20,100,True,True,541.0279999999999,2021-05-12 13:25:43.806045
2,1,novel,33,564,893,563,860.0005813951524,20,100,True,True,549.224,2021-05-12 13:25:45.213961
2,1,novel,25,580,596,451,585.3904679784255,20,100,True,True,428.725,2021-05-12 13:25:46.653334
2,1,novel,38,585,229,468,223.98660674245684,20,100,False,False,NaN,2021-05-12 13:25:47.765591
2,1,novel,38,585,703,741,683.0527066046953,20,100,True,True,813.243,2021-05-12 13:25:48.197979
2,1,novel,29,568,643,326,659.9696962740031,20,100,True,True,649.227,2021-05-12 13:25:49.525985
2,1,novel,12,568,864,496,855.0368413115308,20,100,True,True,508.84499999999997,2021-05-12 13:25:50.774131
2,6,novel,28,577,855,543,827.6986166473881,75,50,True,True,803.517,2021-05-12 13:25:52.406222
2,6,novel,16,587,16,586,1.0,75,50,False,False,NaN,2021-05-12 13:25:53.473671
2,6,novel,16,587,566,470,562.3068557291472,75,50,True,True,688.572,2021-05-12 13:25:54.158022
2,6,novel,29,571,827,461,805.5457777184362,75,50,True,True,852.611,2021-05-12 13:25:55.830058
2,6,novel,21,579,613,295,656.5972890592833,75,50,True,True,887.567,2021-05-12 13:25:57.624030
2,6,novel,28,573,702,722,690.273134346108,75,50,True,True,654.235,2021-05-12 13:25:59.254046
